No,Answer1,Answer2,Answer3
1,This is the book I read yesterday.,This is the book that I read yesterday.,This is the book which I read yesterday.
2,This is the picture I took in Hokkaido.,This is the picture that I took in Hokkaido.,This is the picture which I took in Hokkaido.
3,The cake my mother made is delicious.,The cake that my mother made is delicious.,The cake which my mother made is delicious.
4,The movie we watched yesterday was interesting.,The movie that we watched yesterday was interesting.,The movie which we watched yesterday was interesting
5,The bag she bought in Tokyo is very nice.,The bag that she bought in Tokyo is very nice.,The bag which she bought in Tokyo is very nice.
6,He is a teacher who teaches English.,,
7,She has a friend who lives in Tokyo.,She has a friend living in Tokyo.,
8,She is a girl who likes music.,,
9,I know a student who can speak English well.,,
10,The man who came here yesterday is my uncle.,,
11,This is a movie which makes people happy.,,
12,I have a camera which was made in Japan.,I have a camera made in Japan.,
13,Look at the dog which has long ears.,,
14,This is a book which tells us about Japanese history.,,
15,The bus which goes to the station has just arrived.,,
